url,score,lcp,tti,speedIndex,minimizeMainThreadWork,eliminateRenderBlockingResources,minimizeThirdPartyResourcesMs,minimizeThirdPartyResourcesBytes,efficientlyEncodeImages,serveNextGenImages,properlySizeImages,reduceUnusedCSS,minifyCSS,reduceUnusedJS,minifyJavaScript,enormousNetworkPayloads,greenHosting,CO2WithGreenHosting,CO2WithoutGreenHosting,server,frameworks,libraries,externalServices,cachingTechnologies,securityPractices,performanceOptimizations,backendTechnology
http://www.hairdesign-meidling.at,100,1430,1430,1430,249,0,0,2260,3290,5925,0,0,0,0,0,2254768,1,774,895,Apache,-,-,-,-,-,-,-
http://www.zmd-kfz.at,100,1513,2773,988,718,0,0,36906,0,0,3520,85,0,0,150,1492605,0,592,592,-,-,-,-,-,-,-,-
http://www.lapasserella.at,100,803,803,803,286,149,-1,-1,0,4050,0,0,0,0,0,995622,1,342,395,Apache,-,-,-,-,-,-,-
http://elkedopplerwagner.at,100,1055,605,605,87,0,-1,-1,2700,3300,0,0,0,0,0,798960,0,317,317,"nginx, PleskLin",-,-,-,-,-,-,-
http://www.mk-systems.at,100,1303,778,778,223,0,-1,-1,2700,3000,0,0,0,0,0,715976,0,284,284,"Microsoft-IIS, ASP.NET",-,-,-,-,-,-,-
https://thedetailer.at/,100,1482,1212,1196,1269,0,-1,-1,0,0,0,0,0,0,0,480170,1,164,221,Apache,WordPress,-,"XMLHttpRequest API, Generic Fetch API",,-,-,"WordPress, Joomla"
http://zahnundmedizin.at,100,1273,2376,1370,714,50,-1,-1,0,0,0,0,0,450,0,470428,1,161,222,cloudflare,Craft CMS,-,Cloudflare,,"strict-transport-security, x-content-type-options, x-frame-options, x-xss-protection",-,-
http://www.sinnspuren.com,100,1392,1109,1109,137,582,-1,-1,1050,1350,0,0,0,0,0,399521,1,137,158,Apache,-,-,-,-,-,-,-
http://www.srelectronics.at,100,1710,1079,1079,180,150,0,18042,0,0,0,0,0,0,0,362183,1,124,143,Apache,-,-,-,-,-,-,-
http://www.kj-consulting.at,100,1519,1519,1519,356,579,-1,-1,75,300,0,450,0,0,0,330669,1,113,131,Apache,Joomla!,-,-,-,"x-content-type-options, x-frame-options",-,Joomla
http://www.tebbe.de,100,1685,1253,1241,101,0,-1,-1,0,1350,0,0,0,0,0,328852,1,112,130,Apache,-,-,-,-,-,-,-
http://www.carpentum.at,100,1399,3301,1890,1148,93,8,118791,0,75,0,120,0,325,0,327530,0,130,130,Apache,-,-,-,-,strict-transport-security,-,-
